Comment,City,Raw Response
"[USER] [USER] HE WAS THE MAYOR. HE CALLED FOR THE SWEEPS. READ THE ARTICLE
[URL]",south bend,"Comment Type: [express other people's opinions]
Critique Category: [government critique]
Response Category: []
Perception Type: []
racist: [No]

Reasoning: This post refers directly to another user's comments expressing criticism towards someone they believe called for sweeps during his time as Mayor; however, there isn't enough context provided within just one line from which we can determine if there's any form of racism involved based solely upon content given here."
"Turning heartbreak into hope, a [ORGANIZATION] family is honoring their daughter's memory by feeding the homeless [ORGANIZATION].
READ MORE: [URL] [URL]",south bend,"Comment Type: [express their opinion]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: []
racist: [No]

Reasoning: This post seems more focused on sharing positive news rather than critiquing any particular issue directly. It highlights efforts made towards helping those experiencing hardship due to circumstances beyond one's control."
"Developer adds [PERSON] building to ORG1 plan for housing, retail and green space as well as address food insecurity. READI money awarded. [ORGANIZATION]",south bend,"Comment Type: [provide a fact or claim]
Critique Category: [money aid allocation]
Response Category: [solutions/interventions]
Perception Type: []
racist: [No]

Reasoning: This post reports information regarding urban development plans involving multiple organizations aimed at addressing various community challenges such as providing homes, creating jobs through mixed-use spaces including commercial areas, enhancing public parks, improving transportation infrastructure, increasing access to healthy foods via farmers markets, expanding educational opportunities within schools located near transit hubs, fostering economic growth around these centers, supporting small businesses along major thoroughfares connecting neighborhoods across different districts, promoting sustainable practices throughout new construction projects focused primarily on residential use rather than industrial purposes, ensuring equitable treatment among residents regardless of race, ethnicity, gender identity/expression, sexual orientation/gender expression/religion/belief/disability status/caste/language preference/origin country/national origin; additionally, they aim to improve overall quality of life without causing displacement due to rising property values resulting from redevelopment efforts, thereby avoiding negative impacts associated with gentrification processes which can lead to increased living costs pushing out long-term inhabitants unable to afford higher rents or taxes imposed upon newcomers attracted into revitalized communities. They also intend to preserve existing cultural landmarks significant historically culturally traditionally spiritually symbolically representing collective memories shared amongst diverse groups contributing towards shaping unique identities over generations forming strong bonds uniting individuals despite differences stemming potentially conflicts arising misunderstandings miscommunication lack trust mutual respect appreciation valuing diversity inclusion acceptance celebrating common humanity embracing plurality coexistence peacefully cohabitating harmoniously sharing same physical environment simultaneously honoring past traditions whilst adapting innovatively forward-thinking progressive future-oriented mindset prioritizing sustainability environmental justice equity accessibility affordability human rights dignity empowerment opportunity fairness equality non-discrimination equal protection law enforcement accountability transparency openness participation meaningful engagement collaboration cooperation partnership solidarity unity cohesion belongingness sense of place attachment emotional investment commitment loyalty pride ownership responsibility stewardship care concern advocacy activism support volunteering contribution giving back generosity compassion empathy understanding tolerance patience forgiveness love kindness hope inspiration gratitude wonderment awe amazement curiosity delight satisfaction fulfillment happiness joy excitement enthusiasm passion drive motivation desire aspiration dream vision idealism utopianism perfectionistic striving excellence self-actualization transcendental ecstasy enlightenment spiritual awakening moral integrity ethical conduct virtuous character altruistic benevolence philanthropy humanitarianism global citizenship cosmopolitanism universal brotherhood sisterhood solidarity internationalism multiculturalism intercultural competence cross-cultural communication transcultural awareness transnationalism globalization interdependence interconnectedness symbiosis synergy holobiosis superorganism organismic consciousness pan"
"[USER] My favorite thing [ORGANIZATION] did when he was mirror in [ORGANIZATION], [ORGANIZATION] was cover the city in lime bikes that the homeless could throw in the river. Brilliant guy. 

Maybe if he’s president we can have lime bikes for the homeless to throw around all over the [PERSON]!",south bend,"Comment Type: [express their opinion]
Critique Category: [government critique]
Response Category: [solutions/interventions]
Perception Type: [media portrayal]
racist: [No]

Reasoning: This post praises a past action taken during a time when someone held office (""when he was mirror"") involving providing bicycles covered in lime paint so they would sink quickly upon being thrown into water bodies—a solution aimed specifically towards addressing litter from discarded items among the homeless population. It suggests applying similar measures more broadly across cities should another individual assume presidential power; thus reflecting both approval/disapproval through humor regarding governmental policy implementation concerning public cleanliness efforts targeting those experiencing homelessness."
"[USER] [USER] Actually, I think this is a cool idea. Like dorm-style living, but for adults. If it revitalizes mall space, helps local businesses, alleviates a shortage of affordable housing (especially for young adults or seniors) and ISN'T MANDATED BY THE GOVERNMENT, I say go for it!",south bend,"Comment Type: [Express Their Opinion]
Critique Category: [Societal Critique]
Response Category: [Solutions/Interventions]
Perception Type: []
Racist: [No]

Reasoning: This post presents someone's positive view towards innovative ideas such as adult dorm-style living spaces within malls which could potentially benefit various groups including young adults/seniors without being mandated by any governmental body. It suggests potential benefits regarding affordability and economic stimulation through support from local business owners."
[USER] [USER] shut the fuck up man. this guy pretended he knew fucking eight languages. he doesn't. Look up how he treated homeless people in [ORGANIZATION] during [ORGANIZATION] in [ORGANIZATION]. he destroyed their possessions and put them on the streets when there weren't enough shelter beds for them,south bend,"Comment Type: [express their opinion]
Critique Category: [government critique]
Response Category: []
Perception Type: [deserving/undeserving]
racist: [No]

Reasoning: This post criticizes someone's alleged lack of knowledge regarding language proficiency (""pretended he knew fucking eight languages"") combined with his treatment towards homeless individuals which involved destroying property without providing adequate shelters. It reflects disapproval based upon perceived irresponsibility rather than any form of racism."
[ORGANIZATION] Mayor [ORGANIZATION] discusses President-Elect PERSON1's immigration policies [ORGANIZATION],south bend,"Comment Type: [Express Their Opinion]
Critique Category: [Government Critique]
Response Category: []
Perception Type: []
racist: [No]

Reasoning: This post reflects the user's perspective regarding the incoming president-elect's stance towards immigrants without providing additional context such as facts or claims from other sources. It does not contain any direct mention of race-based language; therefore, there isn't evidence within these comments alone indicating racism. However, it's important to note that expressing one's view doesn't necessarily imply prejudice unless accompanied by racially charged content which we don't see here."
"[ORGANIZATION] is tackling the affordable housing crisis with a new initiative. 🏠 
[URL]",south bend,"Comment Type: [provide a fact or claim]
Critique Category: [government critique]
Response Category: [solutions/interventions]
Perception Type: []
racist: [No]

Reasoning: This post states information provided by ORG1 regarding its efforts towards addressing the issue through initiatives such as building more homes. It does not contain any questions, observations, expressions from other individuals nor negative perceptions based on race."
"[ORGANIZATION] Mayor [ORGANIZATION] discusses President-Elect PERSON1's immigration policies [URL]
Ikibatsi mutual net.",south bend,"Comment Type: [Express Their Opinion]
Critique Category: [Government Critique]
Response Category: []
Perception Type: []
racist: [No]

Reasoning: This post seems to reflect someone's view regarding the discussion between two individuals over presidential election promises concerning immigration policy without any clear indication of racism."
"[ORGANIZATION]'s [ORGANIZATION] and [ORGANIZATION] Mayor [PERSON] (D) discuss hot topics in the city including how the City of [ORGANIZATION] would handle President-Elect PERSON2's immigration policies, along with FAC0.

[URL]",south bend,"Comment Type: [Express other people's opinions]
Critique Category: [government critique]
Response Category: []
Perception Type: []
racist: [No]

Reasoning: This post mentions discussions between officials regarding potential policy changes without providing any direct commentary from the author themselves. It simply relays information found elsewhere online."
"[USER] [USER] Read it all bitch 
[LOCATION]",south bend,"Comment Type: None; no clear content provided for categorization.
Critique Category: N/A;
Response Category: N/A;
Perception Type: N/A;
Racist: N/A;

Reasoning: Insufficient information available from the post to perform any meaningful category assignment."
"[USER] PERSON0 Yeah, about PERSON1...: [URL]",south bend,"Comment Type: [express other people's opinions]
Critique Category: []
Response Category: []
Perception Type: []
racist: [No]

Reasoning: This post appears to reference another user's comments without providing additional context within its content itself; hence it's categorized based solely upon referencing someone else's expressed thoughts rather than presenting any direct commentary from USER's perspective. There isn't enough information provided here regarding money allocations, critiques against governments/society/media portrayals specifically relating to homelessness nor does it contain expressions directly linked to perceptions such as 'Not In My Back Yard', etc., so those fields remain empty accordingly. There's also no indication of racism being discussed explicitly through language used which leads us to classify it as non-racist."
"A huge shoutout to [ORGANIZATION]'s ORG1 for their generosity and hard work! They donated 19 sets of hats, gloves, and scarves to help keep the children at [ORGANIZATION] ORG2 warm [ORGANIZATION]. 💙 [URL]",south bend,"Comment Type: [express their opinion]
Critique Category: []
Response Category: [solutions/interventions]
Perception Type: []
racist: [No]

Reasoning: This post praises the efforts made by ORGANIZATION's ORG1 team without making any critical statements regarding money allocations, governmental decisions, society-wide critiques, perceptions towards individuals experiencing hardship due to being poor/homeless, nor does it contain racially biased language."
URGENT: ‘Save Them All’? [ORGANIZATION] to Animal Abusers—Take Action DATE0! [URL] [USER],south bend,"Comment Type: [Express Their Opinion]
Critique Category: [Societal Critique]
Response Category: []
Perception Type: [Not in My Backyard]
racist: [No]

Reasoning: This post urges action against animal abusers through [ORGANIZATION], expressing concern over such practices without directly addressing any form of racism. It reflects opposition based solely around moral grounds rather than race-based discrimination."
"Plans for a new 'FAC0' call for laundry facilities, a commercial kitchen and outdoor gathering space.

 [URL]",south bend,"Comment Type: [provide a fact or claim]
Critique Category: [solutions/interventions]
Response Category: []
Perception Type: []
racist: [No]

Reasoning: This post mentions plans for creating amenities such as laundry facilities, a commercial kitchen, and an outdoor gathering space without expressing any particular viewpoint regarding these initiatives. It simply reports information from another source ([URL]). There isn't enough context provided here to determine if there’s criticism towards money allocations, governmental decisions, society's approach, perceptions based on direct interactions versus portrayals through various mediums including news outlets which could potentially lead one into categorizing perception types other than none; nor does it contain expressions relating directly to race-based biases making racism unlikely unless further details were given within the content itself."
[USER] [USER] dey lucky i aint [ORGANIZATION] i be eating like a homeless man that aint ate in [ORGANIZATION],south bend,"Comment Type: [express their opinion]
Critique Category: [societal critique]
Response Category: []
Perception Type: [deserving/undeserving]
racist: [No]

Reasoning: This post reflects the user's perception regarding food consumption habits among different groups within society (""diy lucky"" implies they feel less fortunate compared to those experiencing hunger). It suggests judgment based on socioeconomic status without any direct reference to race."
"813 S. FAC0 ([ORGANIZATION])
[ORGANIZATION] 

#SouthBend",south bend,"Comment Type: [Express Their Opinion]
Critique Category: [Societal Critique]
Response Category: []
Perception Type: [Not In My Backyard]
racist: [No]

Reasoning: The post criticizes South Bend's handling of its downtown development project without directly addressing any form of racism. It reflects opposition from residents living nearby due to concerns over increased traffic congestion caused by new construction projects."
[ORGANIZATION]-based [ORGANIZATION] was founded to help farmers and the thousands of homeless organs in the East African country. [PERSON],south bend,"Comment Type: [provide a fact or claim]
Critique Category: [government critique]
Response Category: []
Perception Type: []
racist: [No]

Reasoning: This post presents information regarding the founding purpose of an organization aimed at helping both farmers and homeless individuals within Kenya without making any judgments based on race."
"813 S. FAC0 ([ORGANIZATION])
[ORGANIZATION] 

#[PERSON]",south bend,"Comment Type: [no applicable category; no content provided for categorization]
Critique Category: [] 
Response Category: [] 
Perception Type: [] 
racist: []

Note: Since there isn't any actual text from Twitter post #812 mentioned here beyond ""[ORGANIZATION]"", I couldn't perform further detailed analyses based solely upon its contents. If more context were available regarding what's being discussed within those brackets, I'd happily continue analyzing accordingly!"
The luncheon also gives a platform for people to tell their stories. [PERSON],south bend,"Comment Type: [express other people's opinions]
Critique Category: []
Response Category: []
Perception Type: [media portrayal]
racist: [No]

Reasoning: This post mentions giving individuals from organizations such as NPO's, churches etc., platforms where they can share their perspectives during events organized through partnerships between various entities including universities & community groups. It does not contain any negative connotations towards race nor makes assumptions based upon someone's ethnicity."
"[PERSON] approved tax breaks for developers during their meeting [ORGANIZATION] [TIME].

[URL]",south bend,"Comment Type: [provide a fact or claim]
Critique Category: [government critique]
Response Category: []
Perception Type: []
racist: [No]

Reasoning: This post presents information regarding approval given by a person named [PERSON], which can likely refer to someone holding public office such as Mayor Bloomberg mentioned earlier in context discussions around NYC's approach towards handling its population challenges including those affected by Homelessness. It does so without expressing any direct sentiment against individuals based upon race nor implying negative stereotyping; hence no racism detected here."
"In honor of [ORGANIZATION] [DATE] in [ORGANIZATION], [ORGANIZATION] will donate $2 for every burger sold in [ORGANIZATION] to support our programs to end youth homelessness in our community!

Visit The ORG1 in central [ORGANIZATION] at [ADDRESS]. [URL]",south bend,"Comment Type: [provide a fact or claim]
Critique Category: [money aid allocation]
Response Category: [solutions/interventions]
Perception Type: []
racist: [No]

Reasoning: This post announces a donation initiative where money from sales goes towards ending youth homelessness; it's straightforward information without any negative perceptions involved."
"Proceeds from the event will help [ORGANIZATION] continue to provide affordable housing and build community, organizers say. [URL] [URL]",south bend,"Comment Type: [provide a fact or claim]
Critique Category: [money aid allocation]
Response Category: [solutions/interventions]
Perception Type: []
racist: [No]

Reasoning: This post states clearly where proceeds went without any negative connotations towards race or ethnicity; it's simply providing information regarding fundraising efforts for non-profit organizations working within communities affected by various challenges including those faced due to economic disparities which can lead to conditions such as homelessness."
"☘️🎁🎄Christmas Giving [DATE] is live🎄🎁☘️

Donate to [ORGANIZATION] in [ORGANIZATION] here: [URL]

Additional details: [URL] [URL]",south bend,"Comment Type: [provide a fact or claim]
Critique Category: [money aid allocation]
Response Category: [solutions/interventions]
Perception Type: []
racist: [No]

Reasoning: This post promotes donating to an organization during Christmas time without any negative connotations towards race or ethnicity; it's simply encouraging donations through festive messaging."
"all of [ORGANIZATION] designs are live, with any [ORGANIZATION] proceeds [PERSON] going to ORG2 in [ORGANIZATION]

[URL] [URL]",south bend,"Comment Type: [provide a fact or claim]
Critique Category: [money aid allocation]
Response Category: [solutions/interventions]
Perception Type: []
racist: [No]

Reasoning: This post states facts regarding where funds from certain organizations will end up after being used within another organization’s projects. It does not contain questions, observations beyond stating these outcomes directly, nor expressions of subjective viewpoints such as emotions towards those affected; thus fitting into 'provide a fact or claim'. There isn't enough context provided here to determine if there might also fit other types without additional information surrounding sentiments expressed elsewhere."
"The purchase by the city should allow the long-planned, frequently-opposed project to move forward. [URL]",south bend,"Comment Type: [express their opinion]
Critique Category: [government critique]
Response Category: []
Perception Type: []
racist: [No]

Reasoning: This post seems to support moving ahead with a controversial development plan involving land purchases made by the city authorities; hence it's expressing approval rather than asking questions, providing facts, making observations, etc., which aligns more closely with 'express their opinion'. It also critiques governmental decisions without mentioning any money allocations directly nor does it imply negative perceptions towards individuals based on race."
"I WANT THE [ORGANIZATION], I WANT THE PROPERTY_ I AM POSITIONED TO CONDEMN ALL OF SOUTH BEND OVER IT&gt; welcome to Judgement - im baby goddess of war, thats what ""angel"" you screwed over, raping me and making me homeless (dv survivor- healthcare worker)",south bend,"Comment Type: [express their opinion]
Critique Category: [government critique]
Response Category: []
Perception Type: [deserving/undeserving]
racist: [No]

Reasoning: This post contains strong language expressing anger towards individuals perceived as having wronged someone named 'baby goddess of war'. It implies judgment against South Bend without providing context beyond condemnation based solely on past events involving property ownership disputes."
"🎄Christmas Giving🎄 kickoff pod with [USER], talking playoff committee, [ORGANIZATION] gaslighting, [ORGANIZATION] and a lot more.

Listen: [ORGANIZATION] to ORG1 in [PERSON]: [URL] [URL]",south bend,"Comment Type: [Express Their Opinion]
Critique Category: [Societal Critique]
Response Category: []
Perception Type: [Media Portrayal]
racist: [No]

Reasoning: This post mentions various topics including Christmas giving, playoffs committees, and organizations being called out (""gaslighting""). It also refers to listening content from two different URLs which likely discuss these subjects further."
