Gold n=1702; baseline A gap=+37.49 pp (from stored Qwen zero-shot)
/Users/jonathankarr/Documents/Multidomain-PEH-Classification/.venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
Loading mlx-community/Qwen2.5-7B-Instruct-4bit...
Fetching 9 files:   0%|          | 0/9 [00:00<?, ?it/s]Fetching 9 files: 100%|██████████| 9/9 [00:00<00:00, 110054.62it/s]
Loaded in 2.1s
  [690/1702] variant=B pred=0 (4.97s/item)
  [700/1702] variant=B pred=0 (4.97s/item)
  [710/1702] variant=B pred=0 (4.97s/item)
  [720/1702] variant=B pred=0 (4.97s/item)
  [730/1702] variant=B pred=0 (4.97s/item)
  [740/1702] variant=B pred=0 (4.97s/item)
  [750/1702] variant=B pred=0 (4.97s/item)
  [760/1702] variant=B pred=0 (4.97s/item)
  [770/1702] variant=B pred=0 (4.97s/item)
  [780/1702] variant=B pred=0 (4.97s/item)
  [790/1702] variant=B pred=0 (4.96s/item)
  [800/1702] variant=B pred=1 (4.96s/item)
  [810/1702] variant=B pred=0 (4.95s/item)
  [820/1702] variant=B pred=0 (4.95s/item)
  [830/1702] variant=B pred=0 (4.95s/item)
  [840/1702] variant=B pred=0 (4.94s/item)
  [850/1702] variant=B pred=0 (4.95s/item)
  [860/1702] variant=B pred=0 (4.94s/item)
  [870/1702] variant=B pred=0 (4.94s/item)
  [880/1702] variant=B pred=0 (4.94s/item)
  [890/1702] variant=B pred=0 (4.94s/item)
  [900/1702] variant=B pred=0 (4.93s/item)
  [910/1702] variant=B pred=0 (4.93s/item)
  [920/1702] variant=B pred=0 (4.92s/item)
  [930/1702] variant=B pred=0 (4.92s/item)
  [940/1702] variant=B pred=0 (4.92s/item)
  [950/1702] variant=B pred=0 (4.91s/item)
  [960/1702] variant=B pred=0 (4.91s/item)
  [970/1702] variant=B pred=0 (4.91s/item)
  [980/1702] variant=B pred=0 (4.91s/item)
  [990/1702] variant=B pred=0 (4.90s/item)
  [1000/1702] variant=B pred=0 (4.90s/item)
  [1010/1702] variant=B pred=0 (4.90s/item)
  [1020/1702] variant=B pred=0 (4.91s/item)
  [1030/1702] variant=B pred=0 (4.90s/item)
  [1040/1702] variant=B pred=0 (4.90s/item)
  [1050/1702] variant=B pred=0 (4.90s/item)
  [1060/1702] variant=B pred=0 (4.90s/item)
  [1070/1702] variant=B pred=0 (4.89s/item)
  [1080/1702] variant=B pred=0 (4.89s/item)
  [1090/1702] variant=B pred=1 (4.89s/item)
  [1100/1702] variant=B pred=0 (4.89s/item)
  [1110/1702] variant=B pred=0 (4.89s/item)
  [1120/1702] variant=B pred=0 (4.89s/item)
  [1130/1702] variant=B pred=0 (4.89s/item)
  [1140/1702] variant=B pred=0 (4.89s/item)
  [1150/1702] variant=B pred=0 (4.89s/item)
  [1160/1702] variant=B pred=0 (4.88s/item)
  [1170/1702] variant=B pred=0 (4.88s/item)
  [1180/1702] variant=B pred=0 (4.87s/item)
  [1190/1702] variant=B pred=0 (4.87s/item)
  [1200/1702] variant=B pred=0 (4.87s/item)
  [1210/1702] variant=B pred=0 (4.87s/item)
  [1220/1702] variant=B pred=0 (4.87s/item)
  [1230/1702] variant=B pred=0 (4.87s/item)
  [1240/1702] variant=B pred=0 (4.86s/item)
  [1250/1702] variant=B pred=0 (4.86s/item)
  [1260/1702] variant=B pred=0 (4.86s/item)
  [1270/1702] variant=B pred=1 (4.86s/item)
  [1280/1702] variant=B pred=0 (4.85s/item)
  [1290/1702] variant=B pred=0 (4.85s/item)
  [1300/1702] variant=B pred=0 (4.85s/item)
  [1310/1702] variant=B pred=0 (4.85s/item)
  [1320/1702] variant=B pred=0 (4.84s/item)
  [1330/1702] variant=B pred=0 (4.84s/item)
  [1340/1702] variant=B pred=0 (4.84s/item)
  [1350/1702] variant=B pred=0 (4.84s/item)
  [1360/1702] variant=B pred=0 (4.83s/item)
  [1370/1702] variant=B pred=0 (4.83s/item)
  [1380/1702] variant=B pred=0 (4.83s/item)
  [1390/1702] variant=B pred=0 (4.83s/item)
  [1400/1702] variant=B pred=0 (4.83s/item)
  [1410/1702] variant=B pred=0 (4.83s/item)
  [1420/1702] variant=B pred=1 (4.83s/item)
  [1430/1702] variant=B pred=0 (4.83s/item)
  [1440/1702] variant=B pred=0 (4.83s/item)
  [1450/1702] variant=B pred=0 (4.83s/item)
  [1460/1702] variant=B pred=0 (4.83s/item)
  [1470/1702] variant=B pred=0 (4.83s/item)
  [1480/1702] variant=B pred=0 (4.83s/item)
  [1490/1702] variant=B pred=0 (4.83s/item)
  [1500/1702] variant=B pred=0 (4.83s/item)
  [1510/1702] variant=B pred=0 (4.83s/item)
  [1520/1702] variant=B pred=0 (4.83s/item)
  [1530/1702] variant=B pred=0 (4.82s/item)
  [1540/1702] variant=B pred=0 (4.82s/item)
  [1550/1702] variant=B pred=1 (4.82s/item)
  [1560/1702] variant=B pred=1 (4.82s/item)
  [1570/1702] variant=B pred=0 (4.82s/item)
  [1580/1702] variant=B pred=0 (4.82s/item)
  [1590/1702] variant=B pred=0 (4.82s/item)
  [1600/1702] variant=B pred=0 (4.82s/item)
  [1610/1702] variant=B pred=0 (4.81s/item)
  [1620/1702] variant=B pred=0 (4.81s/item)
  [1630/1702] variant=B pred=0 (4.82s/item)
  [1640/1702] variant=B pred=0 (4.81s/item)
  [1650/1702] variant=B pred=0 (4.81s/item)
  [1660/1702] variant=B pred=0 (4.81s/item)
  [1670/1702] variant=B pred=0 (4.81s/item)
  [1680/1702] variant=B pred=0 (4.81s/item)
  [1690/1702] variant=B pred=0 (4.80s/item)
  [1700/1702] variant=B pred=1 (4.80s/item)
  [1702/1702] variant=B pred=0 (4.80s/item)
=== Variant B: gap=+10.16 pp (pi_ref=2.47, pi_model=12.63) ===
  [1/1702] variant=C pred=1 (5.77s/item)
  [10/1702] variant=C pred=0 (4.75s/item)
  [20/1702] variant=C pred=1 (4.94s/item)
  [30/1702] variant=C pred=1 (5.04s/item)
  [40/1702] variant=C pred=0 (4.93s/item)
  [50/1702] variant=C pred=0 (5.00s/item)
  [60/1702] variant=C pred=0 (5.00s/item)
  [70/1702] variant=C pred=0 (5.05s/item)
  [80/1702] variant=C pred=0 (5.11s/item)
  [90/1702] variant=C pred=1 (5.11s/item)
  [100/1702] variant=C pred=0 (5.08s/item)
  [110/1702] variant=C pred=1 (5.06s/item)
  [120/1702] variant=C pred=1 (5.11s/item)
  [130/1702] variant=C pred=0 (5.12s/item)
  [140/1702] variant=C pred=1 (5.13s/item)
  [150/1702] variant=C pred=0 (5.11s/item)
  [160/1702] variant=C pred=1 (5.10s/item)
  [170/1702] variant=C pred=1 (5.08s/item)
  [180/1702] variant=C pred=1 (5.06s/item)
  [190/1702] variant=C pred=0 (5.07s/item)
  [200/1702] variant=C pred=1 (5.05s/item)
  [210/1702] variant=C pred=0 (5.05s/item)
  [220/1702] variant=C pred=1 (5.04s/item)
  [230/1702] variant=C pred=0 (5.05s/item)
  [240/1702] variant=C pred=1 (5.02s/item)
  [250/1702] variant=C pred=0 (5.01s/item)
  [260/1702] variant=C pred=1 (5.01s/item)
  [270/1702] variant=C pred=0 (5.02s/item)
  [280/1702] variant=C pred=1 (5.01s/item)
  [290/1702] variant=C pred=0 (5.01s/item)
  [300/1702] variant=C pred=0 (5.00s/item)
  [310/1702] variant=C pred=0 (4.99s/item)
  [320/1702] variant=C pred=1 (5.00s/item)
  [330/1702] variant=C pred=0 (5.00s/item)
  [340/1702] variant=C pred=0 (4.99s/item)
  [350/1702] variant=C pred=0 (5.00s/item)
  [360/1702] variant=C pred=1 (5.01s/item)
  [370/1702] variant=C pred=1 (5.01s/item)
  [380/1702] variant=C pred=1 (4.99s/item)
  [390/1702] variant=C pred=1 (5.00s/item)
  [400/1702] variant=C pred=1 (4.99s/item)
  [410/1702] variant=C pred=1 (4.98s/item)
  [420/1702] variant=C pred=1 (4.99s/item)
  [430/1702] variant=C pred=1 (4.99s/item)
  [440/1702] variant=C pred=0 (4.98s/item)
  [450/1702] variant=C pred=1 (4.97s/item)
  [460/1702] variant=C pred=0 (4.97s/item)
  [470/1702] variant=C pred=0 (4.95s/item)
  [480/1702] variant=C pred=0 (4.95s/item)
  [490/1702] variant=C pred=0 (4.95s/item)
  [500/1702] variant=C pred=0 (4.94s/item)
  [510/1702] variant=C pred=0 (4.94s/item)
  [520/1702] variant=C pred=0 (4.93s/item)
  [530/1702] variant=C pred=1 (4.93s/item)
  [540/1702] variant=C pred=0 (4.94s/item)
  [550/1702] variant=C pred=0 (4.94s/item)
  [560/1702] variant=C pred=0 (4.94s/item)
  [570/1702] variant=C pred=0 (4.93s/item)
  [580/1702] variant=C pred=1 (4.94s/item)
  [590/1702] variant=C pred=0 (4.94s/item)
  [600/1702] variant=C pred=0 (4.94s/item)
  [610/1702] variant=C pred=1 (4.94s/item)
  [620/1702] variant=C pred=1 (4.94s/item)
  [630/1702] variant=C pred=0 (4.94s/item)
  [640/1702] variant=C pred=1 (4.94s/item)
  [650/1702] variant=C pred=0 (4.94s/item)
  [660/1702] variant=C pred=1 (4.95s/item)
  [670/1702] variant=C pred=0 (4.95s/item)
  [680/1702] variant=C pred=1 (4.95s/item)
  [690/1702] variant=C pred=0 (4.96s/item)
  [700/1702] variant=C pred=1 (4.96s/item)
  [710/1702] variant=C pred=1 (4.96s/item)
  [720/1702] variant=C pred=0 (4.97s/item)
  [730/1702] variant=C pred=1 (4.98s/item)
  [740/1702] variant=C pred=1 (4.98s/item)
  [750/1702] variant=C pred=1 (4.98s/item)
  [760/1702] variant=C pred=1 (4.98s/item)
  [770/1702] variant=C pred=1 (4.98s/item)
  [780/1702] variant=C pred=0 (4.99s/item)
  [790/1702] variant=C pred=0 (4.99s/item)
  [800/1702] variant=C pred=1 (4.98s/item)
  [810/1702] variant=C pred=0 (4.98s/item)
  [820/1702] variant=C pred=0 (4.99s/item)
  [830/1702] variant=C pred=0 (4.99s/item)
  [840/1702] variant=C pred=1 (4.98s/item)
  [850/1702] variant=C pred=0 (4.98s/item)
  [860/1702] variant=C pred=1 (4.99s/item)
  [870/1702] variant=C pred=1 (4.99s/item)
  [880/1702] variant=C pred=0 (4.99s/item)
  [890/1702] variant=C pred=1 (4.98s/item)
  [900/1702] variant=C pred=0 (4.98s/item)
  [910/1702] variant=C pred=1 (4.98s/item)
  [920/1702] variant=C pred=0 (4.97s/item)
  [930/1702] variant=C pred=0 (4.97s/item)
  [940/1702] variant=C pred=1 (4.97s/item)
  [950/1702] variant=C pred=0 (4.97s/item)
  [960/1702] variant=C pred=0 (4.97s/item)
  [970/1702] variant=C pred=0 (4.96s/item)
  [980/1702] variant=C pred=0 (4.96s/item)
  [990/1702] variant=C pred=0 (4.96s/item)
  [1000/1702] variant=C pred=1 (4.96s/item)
  [1010/1702] variant=C pred=0 (4.96s/item)
  [1020/1702] variant=C pred=0 (4.95s/item)
  [1030/1702] variant=C pred=0 (4.95s/item)
  [1040/1702] variant=C pred=0 (4.95s/item)
  [1050/1702] variant=C pred=1 (4.95s/item)
  [1060/1702] variant=C pred=0 (4.95s/item)
  [1070/1702] variant=C pred=0 (4.94s/item)
  [1080/1702] variant=C pred=0 (4.94s/item)
  [1090/1702] variant=C pred=0 (4.94s/item)
  [1100/1702] variant=C pred=0 (4.95s/item)
  [1110/1702] variant=C pred=1 (4.95s/item)
  [1120/1702] variant=C pred=0 (4.94s/item)
  [1130/1702] variant=C pred=1 (4.94s/item)
  [1140/1702] variant=C pred=1 (4.94s/item)
  [1150/1702] variant=C pred=0 (4.94s/item)
  [1160/1702] variant=C pred=0 (4.93s/item)
  [1170/1702] variant=C pred=0 (4.93s/item)
  [1180/1702] variant=C pred=0 (4.93s/item)
  [1190/1702] variant=C pred=1 (4.93s/item)
  [1200/1702] variant=C pred=0 (4.93s/item)
  [1210/1702] variant=C pred=1 (4.93s/item)
  [1220/1702] variant=C pred=0 (4.93s/item)
  [1230/1702] variant=C pred=0 (4.93s/item)
  [1240/1702] variant=C pred=0 (4.93s/item)
  [1250/1702] variant=C pred=1 (4.93s/item)
  [1260/1702] variant=C pred=0 (4.93s/item)
  [1270/1702] variant=C pred=1 (4.92s/item)
  [1280/1702] variant=C pred=0 (4.92s/item)
  [1290/1702] variant=C pred=0 (4.91s/item)
  [1300/1702] variant=C pred=0 (4.92s/item)
  [1310/1702] variant=C pred=0 (4.92s/item)
  [1320/1702] variant=C pred=0 (4.91s/item)
  [1330/1702] variant=C pred=0 (4.91s/item)
  [1340/1702] variant=C pred=0 (4.91s/item)
  [1350/1702] variant=C pred=0 (4.91s/item)
  [1360/1702] variant=C pred=1 (4.91s/item)
  [1370/1702] variant=C pred=1 (4.91s/item)
  [1380/1702] variant=C pred=0 (4.91s/item)
  [1390/1702] variant=C pred=0 (4.90s/item)
  [1400/1702] variant=C pred=0 (4.90s/item)
  [1410/1702] variant=C pred=1 (4.90s/item)
  [1420/1702] variant=C pred=1 (4.90s/item)
  [1430/1702] variant=C pred=1 (4.90s/item)
  [1440/1702] variant=C pred=0 (4.90s/item)
  [1450/1702] variant=C pred=0 (4.90s/item)
  [1460/1702] variant=C pred=0 (4.89s/item)
  [1470/1702] variant=C pred=0 (4.89s/item)
  [1480/1702] variant=C pred=0 (4.89s/item)
  [1490/1702] variant=C pred=1 (4.89s/item)
  [1500/1702] variant=C pred=1 (4.89s/item)
  [1510/1702] variant=C pred=1 (4.89s/item)
  [1520/1702] variant=C pred=1 (4.89s/item)
  [1530/1702] variant=C pred=0 (4.89s/item)
  [1540/1702] variant=C pred=1 (4.89s/item)
  [1550/1702] variant=C pred=1 (4.89s/item)
  [1560/1702] variant=C pred=1 (4.89s/item)
  [1570/1702] variant=C pred=0 (4.89s/item)
  [1580/1702] variant=C pred=0 (4.89s/item)
  [1590/1702] variant=C pred=1 (4.89s/item)
  [1600/1702] variant=C pred=0 (4.88s/item)
  [1610/1702] variant=C pred=0 (4.88s/item)
  [1620/1702] variant=C pred=0 (4.89s/item)
  [1630/1702] variant=C pred=0 (4.88s/item)
  [1640/1702] variant=C pred=0 (4.88s/item)
  [1650/1702] variant=C pred=0 (4.88s/item)
  [1660/1702] variant=C pred=0 (4.88s/item)
  [1670/1702] variant=C pred=0 (4.87s/item)
  [1680/1702] variant=C pred=0 (4.87s/item)
  [1690/1702] variant=C pred=0 (4.87s/item)
  [1700/1702] variant=C pred=1 (4.87s/item)
  [1702/1702] variant=C pred=1 (4.87s/item)
=== Variant C: gap=+39.84 pp (pi_ref=2.47, pi_model=42.30) ===

We ran three prompt audit variants on the gold-standard set: A (baseline; stored Qwen zero-shot), B (within-block category shuffle, seed 7), and C (role line removed). NIMBY prevalence gaps were +37.5, +10.2, and +39.8 pp, confirming that over-tagging is robust to label ordering and role framing.
Wrote output/openreview_artifacts/prompt_sensitivity_nimby_mlx
