city,Deidentified text,ask a genuine question,ask a rhetorical question,provide a fact or claim,provide an observation,express their opinion,express others opinions,money aid allocation,government critique,societal critique,solutions/interventions,personal interaction,media portrayal,not in my backyard,harmful generalization,deserving/undeserving,Racist
south bend,"The deal to build a new homeless intake center in [ORGANIZATION] is close to completion.
[URL]",0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0
south bend,"[USER] I'd chose ol ""Mayor [PERSON]"" and ask him why he decided to screw up the traffic patterns in [ORGANIZATION] with his screwed up round abouts on [ORGANIZATION] and FAC0 instead of the poverty and homelessness issues that only got worse during his administration.",0,0,3,0,2,0,0,3,0,1,0,0,0,0,0,0
south bend,PERSON0 You really want to go there with your “husbands” record on homelessness in [ORGANIZATION]?,0,2,1,0,1,0,0,0,2,0,0,0,0,0,0,0
south bend,"[USER] [USER] address how he treated homeless people in [ORGANIZATION] without pretending being a wealthy gay man who adopted children makes him a saint
[LOCATION]",0,0,3,0,1,1,0,1,2,0,0,0,0,0,0,0
south bend,"Sixplexes are one building type in FAC0, an affordable housing project currently under construction on [ORGANIZATION] east side [URL]",0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0
south bend,"This song is dedicated to all who are struggling, the disabled, the homeless, the lgbtq community, and everyone around the world that is suicidal or lost someone or a pet.. I want to tell all of you that I love you and everything will be ok..

[URL]",0,0,3,0,3,0,0,0,0,2,0,0,0,0,1,0
south bend,PERSON0 Have you researched how [PERSON] treated the homeless in [ORGANIZATION] during his two terms? [ORGANIZATION] swept encampments under a downtown overpass more than once and everything got trashed.,2,1,3,0,2,0,0,2,0,1,0,0,0,1,0,0
south bend,[USER] [USER] It’s a [TIME] attempt to salvage [ORGANIZATION] presidential run because republicans know they are losing. [ORGANIZATION] is not a “sanctuary city” because we can’t barely get sanctuary for our own homeless people.,0,0,3,0,3,1,0,2,2,2,0,0,0,0,0,0
south bend,"Thanks to [ORGANIZATION] for inviting [USER] [ORGANIZATION]amp; I to join your table at the [USER] [ORGANIZATION]. After an especially cold night, it was wonderful to be surrounded by the warmth of many individuals who support caring for our unhoused neighbors. [PERSON]",0,0,2,0,3,1,0,0,0,2,1,0,0,0,0,0
south bend,"[USER] [USER] HE WAS THE MAYOR. HE CALLED FOR THE SWEEPS. READ THE ARTICLE
[URL]",0,0,3,0,2,0,0,3,1,1,0,1,0,0,0,0
south bend,"Turning heartbreak into hope, a [ORGANIZATION] family is honoring their daughter's memory by feeding the homeless [ORGANIZATION].
READ MORE: [URL] [URL]",0,0,3,0,2,1,0,0,0,2,0,1,0,0,0,0
south bend,"Developer adds [PERSON] building to ORG1 plan for housing, retail and green space as well as address food insecurity. READI money awarded. [ORGANIZATION]",0,0,3,0,0,0,2,0,0,3,0,0,0,0,0,0
south bend,"[USER] My favorite thing [ORGANIZATION] did when he was mirror in [ORGANIZATION], [ORGANIZATION] was cover the city in lime bikes that the homeless could throw in the river. Brilliant guy. 

Maybe if he’s president we can have lime bikes for the homeless to throw around all over the [PERSON]!",0,1,3,0,3,0,0,3,0,0,0,0,0,2,0,0
south bend,"[USER] [USER] Actually, I think this is a cool idea. Like dorm-style living, but for adults. If it revitalizes mall space, helps local businesses, alleviates a shortage of affordable housing (especially for young adults or seniors) and ISN'T MANDATED BY THE GOVERNMENT, I say go for it!",0,1,1,0,3,0,0,2,0,3,0,0,0,0,1,0
south bend,[USER] [USER] shut the fuck up man. this guy pretended he knew fucking eight languages. he doesn't. Look up how he treated homeless people in [ORGANIZATION] during [ORGANIZATION] in [ORGANIZATION]. he destroyed their possessions and put them on the streets when there weren't enough shelter beds for them,0,0,3,0,3,0,0,3,1,1,0,0,0,0,1,0
south bend,[ORGANIZATION] Mayor [ORGANIZATION] discusses President-Elect PERSON1's immigration policies [ORGANIZATION],0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
south bend,"[ORGANIZATION] is tackling the affordable housing crisis with a new initiative. 🏠 
[URL]",0,0,3,0,1,0,0,0,0,3,0,0,0,0,0,0
south bend,"[ORGANIZATION] Mayor [ORGANIZATION] discusses President-Elect PERSON1's immigration policies [URL]
Ikibatsi mutual net.",0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
south bend,"[ORGANIZATION]'s [ORGANIZATION] and [ORGANIZATION] Mayor [PERSON] (D) discuss hot topics in the city including how the City of [ORGANIZATION] would handle President-Elect PERSON2's immigration policies, along with FAC0.

[URL]",0,0,3,0,2,0,0,0,0,1,0,0,0,0,0,0
south bend,"[USER] [USER] Read it all bitch 
[LOCATION]",0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
south bend,"[USER] PERSON0 Yeah, about PERSON1...: [URL]",0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
south bend,"A huge shoutout to [ORGANIZATION]'s ORG1 for their generosity and hard work! They donated 19 sets of hats, gloves, and scarves to help keep the children at [ORGANIZATION] ORG2 warm [ORGANIZATION]. 💙 [URL]",0,0,3,0,2,0,1,0,0,2,0,0,0,0,0,0
south bend,URGENT: ‘Save Them All’? [ORGANIZATION] to Animal Abusers—Take Action DATE0! [URL] [USER],1,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0
south bend,"Plans for a new 'FAC0' call for laundry facilities, a commercial kitchen and outdoor gathering space.

 [URL]",0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0
south bend,[USER] [USER] dey lucky i aint [ORGANIZATION] i be eating like a homeless man that aint ate in [ORGANIZATION],0,0,2,0,3,0,0,0,0,0,0,0,0,1,0,0
south bend,"813 S. FAC0 ([ORGANIZATION])
[ORGANIZATION] 

#SouthBend",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
south bend,[ORGANIZATION]-based [ORGANIZATION] was founded to help farmers and the thousands of homeless organs in the East African country. [PERSON],0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0
south bend,"813 S. FAC0 ([ORGANIZATION])
[ORGANIZATION] 

#[PERSON]",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
south bend,The luncheon also gives a platform for people to tell their stories. [PERSON],0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0
south bend,"[PERSON] approved tax breaks for developers during their meeting [ORGANIZATION] [TIME].

[URL]",0,0,3,0,0,0,2,0,0,1,0,0,0,0,0,0
south bend,"In honor of [ORGANIZATION] [DATE] in [ORGANIZATION], [ORGANIZATION] will donate $2 for every burger sold in [ORGANIZATION] to support our programs to end youth homelessness in our community!

Visit The ORG1 in central [ORGANIZATION] at [ADDRESS]. [URL]",0,0,3,0,1,0,3,0,0,2,0,1,0,0,0,0
south bend,"Proceeds from the event will help [ORGANIZATION] continue to provide affordable housing and build community, organizers say. [URL] [URL]",0,0,3,0,0,0,3,0,0,2,0,0,0,0,0,0
south bend,"☘️🎁🎄Christmas Giving [DATE] is live🎄🎁☘️

Donate to [ORGANIZATION] in [ORGANIZATION] here: [URL]

Additional details: [URL] [URL]",0,0,2,0,1,0,2,0,0,2,0,0,0,0,0,0
south bend,"all of [ORGANIZATION] designs are live, with any [ORGANIZATION] proceeds [PERSON] going to ORG2 in [ORGANIZATION]

[URL] [URL]",0,0,3,0,0,0,2,0,0,1,0,0,0,0,0,0
south bend,"The purchase by the city should allow the long-planned, frequently-opposed project to move forward. [URL]",0,0,3,0,1,0,2,0,0,3,0,0,0,0,0,0
south bend,"I WANT THE [ORGANIZATION], I WANT THE PROPERTY_ I AM POSITIONED TO CONDEMN ALL OF SOUTH BEND OVER IT&gt; welcome to Judgement - im baby goddess of war, thats what ""angel"" you screwed over, raping me and making me homeless (dv survivor- healthcare worker)",0,0,3,0,3,0,0,1,2,1,0,0,1,1,1,0
south bend,"🎄Christmas Giving🎄 kickoff pod with [USER], talking playoff committee, [ORGANIZATION] gaslighting, [ORGANIZATION] and a lot more.

Listen: [ORGANIZATION] to ORG1 in [PERSON]: [URL] [URL]",0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0
south bend,"PERSON0 Picture from when [PERSON] bulldozed over homeless encampments as the mayor of [ORGANIZATION], [PERSON]. Clearly, Democrats love destroying the few possessions belonging to the homeless. [URL]",0,0,3,0,3,1,0,2,1,0,0,0,0,0,0,0
rockford,[ORGANIZATION] non-profit that supports the homeless could shut down GPE1GPE2  [URL],0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0
rockford,"PERSON0 They've got all that affordable housing, but the downside is it's in [ORGANIZATION].",0,0,3,0,3,0,0,0,0,1,0,0,0,0,0,0
rockford,"[USER] can I get some marshal law in [ORGANIZATION]; [PERSON], [ORGANIZATION] , this college is sabotaging my name my housing  my health ,  they [ORGANIZATION]; think about to praising God or think they can say im not working so the police don't have a job to do.",1,0,3,0,3,1,0,1,0,1,0,1,0,0,1,0
rockford,[ORGANIZATION] seeks funds to assist growing homeless population in [ORGANIZATION]. [URL],0,0,3,0,0,0,3,0,0,1,0,0,0,0,0,0
rockford,[USER] You should see downtown [ORGANIZATION]. Oh boy. You got the trap store ([ORGANIZATION]) across the [STREET] from the jail/[STREET] houses. The [INSTITUTION] is on the next block. They are selling right there on the [STREET].,0,0,3,1,3,0,0,0,0,0,0,0,1,1,0,0
rockford,"Thank you, [ORGANIZATION] in [ORGANIZATION], for bringing the cheer to our residents at [ORGANIZATION] in [PERSON] with the donation of these festive wreaths and door decorations. [URL] [URL]",0,0,3,0,2,1,0,0,0,1,0,1,0,0,0,0
rockford,"[USER] well greedy pple enjoy collecting 🏠s. some cities, like [ORGANIZATION] (see below), have made [DATE] strides. the city's # s are impressive considering the poverty. the weather (dying of exposure is a real threat in [PERSON]), and under-priced housing mrket also means ⬇️ homelessness. [URL]",0,0,3,0,3,1,1,0,2,0,0,0,0,0,0,0
rockford,"[ORGANIZATION] for the Homeless in [ORGANIZATION] to honor those who passed away, highlighting [ORGANIZATION] Memorial Day. [URL]",0,0,3,0,0,2,0,0,0,1,0,1,0,0,0,0
rockford,"I know this isn’t what I normally post, but since I had [ORGANIZATION] off, we spent DATE1 giving back to the community. My mom put together a group and we were in downtown [ORGANIZATION] putting out warm gear for the homeless. Have DATE2 and so excited to play again DATE3! [URL]",0,0,3,0,3,0,0,0,0,2,0,0,0,0,0,0
rockford,The $45 million project hopes to solve part of [ORGANIZATION]'s housing crisis. [URL],0,0,3,0,0,1,3,0,0,3,0,0,0,0,0,0
rockford,"[ORGANIZATION] is the primary provider of assistance to people struggling with challenges like homelessness, poverty, abuse and addiction. [URL]",0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0
rockford,"One thing's clear from talking to residents around [ORGANIZATION] and FAC0 - people need a change from ORG0ORG1; ORG2. Many people are pointing to the housing crisis as a major issue, which the government has no desire to solve. It's time to end DATE0 of ORG3 and [LOCATION]. [URL]",0,0,3,1,2,2,0,2,0,2,1,0,0,0,0,0
rockford,"Thanks to a system that can ensure homelessness is rare  and brief, [ORGANIZATION], [PERSON] has a sustainable solution to the chronic  homelessness its citizens face.",0,0,3,0,1,0,0,0,0,3,0,0,0,0,0,0
rockford,"[ORGANIZATION] should do SOMETHING with [ORGANIZATION]. [ORGANIZATION]. Vacation. [PERSON]. Come to PERSON1 moment on a remote island.
Bootcamp in [PERSON]. SOMETHING. I get not wanting him on the ice but what a waste of everything to make him homeless.",0,0,3,0,3,0,0,0,2,0,0,0,0,0,0,0
rockford,"[URL]

City of GPE0 Refuses to Acknowledge an Abandoned Homeless Encampment

[URL] 

#[PERSON]scanner #[PERSON] #[PERSON]il #homeless #GPE3 #mayor #rs #news #cleanup #shelter #wtf #fail #corruption #politics #embarrassing",0,0,3,0,2,1,0,2,0,0,0,1,1,1,0,0
rockford,"A new proposal sets out to create affordable housing for veterans — ranging from studio apartments at this old bank site to townhomes on vacant land — at nine locations in the area. 

[URL]",0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0
rockford,"[ORGANIZATION] needs to get a grip with reality and understand that they are not the center of this state. [PERSON] is an ongoing issue in [ORGANIZATION], and their claims of a few more tents in the city warranting a state of emergency is abhorrent.",0,0,3,0,2,1,0,3,0,1,0,0,0,0,0,0
rockford,"[USER] [USER] They tried it but stopped, I believe. They have had some success in reducing homelessness but [ORGANIZATION] isn’t why. They also have some challenges.",0,0,3,0,2,0,0,0,0,2,0,0,0,0,0,0
rockford,"[USER] [USER] There are some homeless people in [ORGANIZATION], but as far as I can tell, they are refugees from [ORGANIZATION]; GPE2.",0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0
rockford,"[ORGANIZATION] uses real-time, by-name data to reach functional zero with homeless population

In [ORGANIZATION], [ORGANIZATION] became the  first community in [PERSON] to end both chronic and veteran  homelessness.",0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0
rockford,FOR IMMEDIATE RELEASE: ALL THINGS AFFORDABLE HOUSING SUMMIT [URL]  #tapin #affordablehousing #rockfordhousing #landlords #residents #rockfordil [ORGANIZATION],0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
rockford,"Affordable housing, state budget deficit at issue as [ORGANIZATION] lawmakers meet with [ORGANIZATION]-area leaders [URL]",0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,0
rockford,"PERSON0 Oh, why not.. [ORGANIZATION],  or [PERSON]? You know if you go to [ORGANIZATION] you can see live homeless Americans just walking up and down FAC0.",0,2,3,1,2,0,0,0,0,0,0,0,2,0,0,0
rockford,[ORGANIZATION] heatwave puts [ORGANIZATION]’s homeless at risk [URL] [URL],0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0
rockford,[USER] [USER] [USER] [USER] [USER] [USER] [USER] I was elected to my city council &amp; the only CITY EMPLOYEE who volunteered at our shelter. I worked with [ORGANIZATION] gov because they ENDED homelessness. 1 of a couple cities in [PERSON] to do so. Rehabs &amp; mental break facilities are tax funded private corps that don't address homelessness,0,0,3,1,1,0,1,1,1,1,0,0,0,0,0,0
rockford,"Perhaps where homeless, illegals, homicide freedom cause [ORGANIZATION] loss. [PERSON] GPE2 [PERSON] GPE7 [PERSON] GPE12 GPE13 GPE14 GPE15 GPE16 GPE17 #bansoffourbodies GPE18 GPE19 GPE20 GPE21 [PERSON]",0,0,2,0,2,0,0,1,0,0,0,0,0,2,0,1
rockford,"The [ORGANIZATION] team attended the [USER] All Things Housing Summit DATE0. It was a great opportunity to share the resources that ORG1 offers to [ORGANIZATION]; property owners, &amp; to meet with other organizations offering affordable housing in [ORGANIZATION]. 🏘[PERSON]",0,0,3,0,3,0,0,0,0,2,0,0,0,0,0,0
rockford,[USER] [URL] plz help our homeless if you can.,0,0,1,0,2,0,0,0,1,1,0,0,0,0,0,0
rockford,"As warming centers protect those without a stable shelter, there is one big challenge: reduced capacity.  [URL]",0,0,3,0,1,0,0,0,0,2,0,0,0,0,0,0
rockford,“These people are just like everyone else and they deserve to be remembered.” [URL],0,0,1,0,1,2,0,0,0,0,0,1,0,0,0,0
rockford,"[USER] This church is in [PERSON], it had been vacant for [ORGANIZATION] and it was used as a soup kitchen for DATE1years after that until a homeless man set it on fire. bythe time the [INSTITUTION] arrived, they had no other choice but to keep it from spreading.",0,0,3,0,1,0,0,0,0,2,0,0,0,0,0,0
rockford,"[USER] Have you seen the streets in [ORGANIZATION], GPE1,GPE2 and [PERSON]? Crime is rampant and streets filled with homeless and illegals. Shame on you!!!!",1,2,3,1,2,0,0,0,2,0,0,0,2,2,0,1
rockford,"[ORGANIZATION] non-profit that supports the homeless could shut down 
Source: [URL] WTVO WQRF [URL]",0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0
rockford,"ICYMI: [ORGANIZATION] stands by as dozens of those in need walk through Miss [PERSON] on [ORGANIZATION] [TIME]. Volunteers for the charity gather sack lunches, blankets, gloves and more without questions for the mostly homeless men and women entering. [URL]",0,0,3,0,0,0,1,1,0,2,0,0,0,0,0,0
rockford,"Country music artist and [PERSON] nominee [ORGANIZATION] brings his [ORGANIZATION] to [ORGANIZATION], donating to [ORGANIZATION] and raising awareness for homelessness. [URL]",0,0,3,0,0,0,3,0,0,2,0,1,0,0,0,0
rockford,[ORGANIZATION] seeks community aid ahead of [ORGANIZATION] Week. [URL],0,0,3,0,0,0,1,0,0,2,0,0,0,0,0,0
rockford,[ORGANIZATION] seeks financial support to care for the homeless [URL] [URL],0,0,3,0,0,0,3,0,0,1,0,0,0,0,0,0
kalamazoo,"""100 people in need find shelter &amp; community [ORGANIZATION] thanks to [ORGANIZATION] #HomeForTheHolidays""

[URL]",0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0
kalamazoo,"Asking people about challenges of finding affordable housing in [ORGANIZATION] area:

""The housing situation here is beyond abysmal! I feel even worse for the poor/homeless. The county/city cant seem to get their shit together to address the problem,"" one said. [URL]",0,0,2,1,1,2,0,3,0,1,0,0,0,0,0,0
kalamazoo,"We need more of this across the country. Help end homeless, and encourage responsibility.

[URL]",0,0,2,0,2,0,0,0,1,2,0,0,0,0,0,0
kalamazoo,[LOCATION]-funded mobile homes arrive for families facing homelessness [URL],0,0,3,0,0,0,1,0,0,3,0,0,0,0,0,0
kalamazoo,"Fun fact--the homeless population is growing in [ORGANIZATION] and its not just because of bad policies. Cities and towns around the state send their homeless to [ORGANIZATION], as do some other states. I met a homeless mother with a teenage daughter from [PERSON]. When her home was destroyed in",0,0,3,0,2,0,0,1,0,1,3,0,0,0,0,0
kalamazoo,"New [ORGANIZATION] home aims to help homelessness and addiction
[URL]",0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0
kalamazoo,"[USER], Thanks for making a cash donation to [USER]. Your tireless effort to fight hunger in [ORGANIZATION] and [ORGANIZATION] will provide free dinners for the homeless and other needy souls in [ORGANIZATION]. [ORGANIZATION] bless you. PERSON1 and [PERSON] with Rev. PERSON3. [URL]",0,0,3,0,2,0,3,0,0,2,0,0,0,0,0,0
kalamazoo,"Seeking to end homelessness among jail inmates, [ORGANIZATION] ([ORGANIZATION]) receives $20K grant! [PERSON]! [URL]",0,0,3,0,0,0,3,0,0,2,0,0,0,0,0,0
kalamazoo,"Plans to convert [ORGANIZATION] hotel into [INSTITUTION] being re-evaluated
[URL]",0,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0
kalamazoo,"These projects will create more than 100 new housing units. 

Learn more: [URL]",0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0
kalamazoo,New [INSTITUTION] project may pivot to different spot in [ORGANIZATION] [URL],0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0
kalamazoo,[ORGANIZATION] is celebrating the first of ten new affordable housing units at a mobile home park near FAC0: [URL],0,0,3,0,0,2,0,0,0,3,0,0,0,0,0,0
kalamazoo,"[ORGANIZATION] increased mental health treatment using proven methods for [ORGANIZATION], especially focusing on [ORGANIZATION] and homeless folks. Also research effective and proven strategies for reducing homelessness and implement them in [ORGANIZATION], then roll them out to other cities.",0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0
kalamazoo,"LOCAL NEWS - Plans to convert [ORGANIZATION] hotel into [INSTITUTION] cancelled after lofty $5.2M pricetag goes public 

[URL]",0,0,3,0,2,0,3,0,0,2,0,1,0,0,0,0
kalamazoo,[USER] [USER] [ORGANIZATION] is a homeless mess.,0,0,2,1,2,0,0,0,0,0,0,0,0,1,0,0
kalamazoo,"The tiny houses were built for people turned away by landlords due to their past convictions or substance use disorders.
[URL]",0,0,3,0,1,0,0,0,1,3,0,0,0,1,0,0
kalamazoo,"DATE0 with staff at [ORGANIZATION], GPE0GPE1, [ORGANIZATION], off and running! A common issue at many GPE0PublicTransportation motor pools and maintenance bays are GPE0Homeless people who trespass and loiter. How do you approach with personal safety in mind? [URL]",3,0,3,1,2,0,0,0,0,1,0,0,0,2,0,0
kalamazoo,"[ORGANIZATION] OKs support for affordable housing projects:
[URL]",0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0
kalamazoo,"Pre-approved plans are part of [ORGANIZATION]’s effort to promote affordable housing through regulatory reform, missing middle housing types, and financial support and incentives. [ORGANIZATION]",0,0,3,0,0,1,3,0,0,2,0,0,0,0,0,0
kalamazoo,[ORGANIZATION] OKs support for affordable housing projects [URL],0,0,3,0,0,0,2,0,0,1,0,0,0,0,0,0
kalamazoo,"👇🏽 [USER] [USER] PERSON0 PERSON1 [USER] [USER] PERSON2 
As student homelessness rises, program aims to house 150 families by [ORGANIZATION] [URL]",0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0
kalamazoo,"The organization aims to ensure that everybody is surrounded by comfort and joy [ORGANIZATION], according to [ORGANIZATION].
[URL]",0,0,3,0,0,0,1,0,0,2,0,0,0,0,0,0
kalamazoo,"[URL] As student homelessness rises, program aims to house 150 families by [ORGANIZATION]",0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0
kalamazoo,1. Ten new homes mark the start of an affordable housing project for low-income families near [LOCATION]. [URL],0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0
kalamazoo,"PERSON0amp; [PERSON], Thanks for your generous donation to [ORGANIZATION]. Your Love [PERSON] will provide free dinners for the homeless and other needy souls in [ORGANIZATION] in [ORGANIZATION]. PERSON2 bless you. [URL]",0,0,3,0,2,1,2,0,0,2,0,0,0,0,0,0
kalamazoo,"[USER] Can we do something about reducing homelessness especially right in the middle of downtown [ORGANIZATION]? If I was a business owner down there, I would be so mad I would pack up and leave.",3,0,2,0,3,0,0,1,0,1,0,0,2,0,0,0
kalamazoo,"3[LOCATION] leaders give the green light for support in three housing projects 

[URL]",0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0
kalamazoo,[USER] GPE0 It doesn't help when cities around the state put their homeless on buses and send them to [PERSON].  [ORGANIZATION] in other states does this as well.,0,0,3,0,2,0,0,2,0,2,0,0,0,0,0,0
kalamazoo,"[ORGANIZATION] is [LOCATION], and [ORGANIZATION] is seeing a DATE2 high in their homeless population according to the [ORGANIZATION] count.
[URL]",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
kalamazoo,"""[ORGANIZATION] provides hotel rooms, meals &amp; clothing to 100 unhoused individuals for [ORGANIZATION], offering a sense of [ORGANIZATION]; comfort #HomelessnessAwareness""

[URL]",0,0,3,0,1,0,1,0,0,2,0,0,0,0,0,0
kalamazoo,"[ORGANIZATION] is dedicated to ending [PERSON], and to help [ORGANIZATION], we bring the resources to them. Every second [DATE], [ORGANIZATION] and our partners come to [PERSON] at [ADDRESS], [ORGANIZATION], [PERSON], from [TIME]
#[ORGANIZATION] #EndingVeteranHomelessness [URL]",0,0,3,0,1,1,1,0,0,2,0,0,0,0,1,0
kalamazoo,Several new housing projects will be underway in [ORGANIZATION]. [URL],0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0
scranton,"Homelessness concerns continue in [ORGANIZATION], [PERSON] [URL] via [USER]",0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0
scranton,"A [INSTITUTION] in [ORGANIZATION] is back open and just in time for some of the coldest temperatures of [ORGANIZATION].
[URL]",0,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0
scranton,"[ORGANIZATION] old [ORGANIZATION] [USER] did that. In between his [ORGANIZATION]. 

You’re Welcome Homeless folks! [URL]",0,0,3,0,2,0,0,1,0,0,0,0,0,0,0,0
scranton,"[USER] PERSON0 [PERSON] please do not go to [ORGANIZATION], it’s a waste of taxpayer money. Use that money for homeless veterans please! [URL]",0,0,2,0,2,0,2,1,1,2,0,0,0,0,2,0
scranton,[USER] I’m from [ORGANIZATION] and most people were disgusted with your visit at taxpayer expense. You’re a joke and a con artist. [ORGANIZATION] puppet president always saying “please give me more money”. Disgrace to humanity,0,0,3,0,3,2,2,2,2,0,0,0,0,1,0,0
scranton,"[USER] [USER] You're claiming [ORGANIZATION] wants more neverending inflation, more wide open borders, more forever wars, and more of the homelessness epidemic. 

You'll understand if I'm skeptical.",0,0,3,0,3,1,1,0,1,0,0,0,0,0,0,0
scranton,[ORGANIZATION] in [ORGANIZATION] …there is a decal bus with a sign that says [PERSON]. I just read a study [ORGANIZATION] about the increase in veteran homelessness due to  [PERSON]!  No one cares about the troops more than President [PERSON].,0,0,3,0,2,3,0,1,1,0,0,0,0,0,1,0
scranton,A local hotel in [ORGANIZATION] has a bus outside of it with decals and the words: veterans against [ORGANIZATION]. If anyone could support the troops any more than President [ORGANIZATION]….I cannot think of one. I just heard a study [ORGANIZATION] that shows a large increase in homeless veterans under [PERSON]!,0,0,3,0,3,1,0,1,1,1,0,0,0,0,1,0
scranton,"When the [ORGANIZATION] temps hit [ORGANIZATION], a non-profit that helps people experiencing homelessness and food insecurity wants to be ready.
[URL]",0,0,3,0,0,1,1,0,0,2,0,0,0,0,0,0
scranton,"It’s DATE0 again,[ORGANIZATION]'s charity [STREET].

This will be my third DATE1 doing this. I’ve always supported one local charity but last DATE1 I split between two as we raised so much

The first one was a homeless-specific charity and the second is a family support charity. [URL]",0,0,3,0,2,0,2,0,0,2,0,0,0,0,0,0
scranton,"Homelessness In [LOCATION], PA - Part 1 [URL] via [USER]",0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
