city,Deidentified_paragraph,ask a genuine question,ask a rheorical question,provide a fact or claim,provide an observation,express their opinion,express others opinions,money aid allocation,government critique,societal critique,solutions/interventions,personal interaction,media portrayal,not in my backyard,harmful generalization,deserving/undeserving,racist
southbend,"DATE0, advocates for the homeless ventured through [ORGANIZATION] to conduct a pandemic-modified Point-in-Time Count. The DATE1 DATE2 process strives to enumerate people living outdoors, or in non-habitable shelters like abandoned houses, vehicles and RVs parked in vacant lots. The co-chairs of ORG0Bethany [ORGANIZATION] Director [PERSON] and [ORGANIZATION] Commissioner [PERSON]  led other volunteers to find people in those situations. That survey process continues through [ORGANIZATION].",0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0
southbend,"[ORGANIZATION] and [ORGANIZATION] broke ground [ORGANIZATION] on a 300,000 effort to provide short-term housing for homeless people in and around [ORGANIZATION].",0,0,3,0,0,0,1,0,0,3,0,0,0,0,0,0
southbend,"The fact that theyre even in a hotel. We live in [ORGANIZATION] we have thousands of homeless veterans. So, if you fought for this country, youre on the streets, but if you snuck in, youre in the suites. That doesnt inaudible.",0,0,3,1,2,0,0,1,1,0,0,0,0,1,2,0
southbend,"These dogs were homeless before Hurricane Harvey flooded the [ORGANIZATION] area, where pet shelters are scrambling to make room for pets who have been separated from their people by the floods.",0,0,3,0,1,0,0,0,0,1,0,0,0,0,1,0
southbend,"While anyone who qualifies for affordable housing can apply for residency at the hotel, preference is given to artists.",0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0
southbend,"Anyone familiar with harsh [ORGANIZATION] conditions can appreciate how difficult it is for people living on the streets, especially overnight, to stay warm, said [ORGANIZATION], director of events for [ORGANIZATION]. Efforts such as [ORGANIZATION] that provide help that doesnt have to be searched out, [PERSON] said, is just such a kindness.",0,0,3,0,1,1,1,0,0,2,0,0,0,0,0,0
southbend,"I think they do not.78 [ORGANIZATION] Says [PERSON] is at All-Time High79 [ORGANIZATION] ambassador-at-large for international religious freedom, [ORGANIZATION], said [ORGANIZATION] that hostility toward Christians in the world has reached an all-time high. There is more persecution of Christians now, arguably than any time in the history of the world, and the Christian faith is the most persecuted faith in the world, by far, [PERSON] said in his keynote address at the sixth annual [ORGANIZATION] hosted by [ORGANIZATION] in [ORGANIZATION], DC.80 [ORGANIZATION] Member Proposes New Plan for Homeless Problem  Bus Homeless People Out of the City81 [ORGANIZATION] has a massive homeless problem, perhaps only second to [PERSON], [PERSON]. The city has already spent a fortune trying various things to solve the problem but nothing has been effective.",0,0,3,0,2,0,2,3,0,1,0,0,0,0,0,0
southbend,Drug addiction. Homelessness. Poverty.,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
southbend,"Service to [ORGANIZATION] MarketORG1 [PERSON], [ORGANIZATION] ORG1 ORG2 [ORGANIZATION], [ORGANIZATION], [PERSON] the Forgotten",0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
southbend,"The survey opens up funding that will help establish a day center for the homeless at [ORGANIZATION]. There, people will be able warm up or cool down in adverse weather, rest on cots, collect mail and access computers, showers and a laundry.",0,0,3,0,0,0,2,0,0,3,0,0,0,0,0,0
southbend,"The program allows students from the medical school and [ORGANIZATION] to learn about the factors that impact community health and well-being while serving at local nonprofits. The students are working on solutions for solving problems, such as youth homelessness, lack of access to mental healthcare, and unhealthy eating habits.",0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0
southbend,"With his family living in a [INSTITUTION], [ORGANIZATION] chose the latter, figuring, he said, Im going to take this so I can get home and immediately assist my family.",0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0
southbend,"Other contributions include 3,500 from [ORGANIZATION] a [ORGANIZATION]-based developer. PERSON1 A vow to cut homelessnessAs mayor of the nations largest city for [ORGANIZATION], [PERSON] oversaw the largest public housing authority in the country, ran a [INSTITUTION] system under a unique local legal right to shelter and helped regulate one of the largest biggest real-estate markets in the world. That gives him a deeper track record  for praise andor scrutiny  than any of the other candidates in the race, even the other mayors PERSON3, currently, and, formerly, PERSON4. That record is decidedly mixed. PERSON1 rezoned 40 percent of the city, but some of those zonings prevented any increase in affordable housing. His housing plan generated lots of units 165,000 but many of them were unaffordable to the neighborhoods in which they were built. He made big promises on reducing homelessness, but cut off the supply of Section 8 and public housing to the shelters. Until late in his term, he did little for NYCHA.PERSON1 laid out his housing plan for the nation in [LOCATION].",0,0,3,0,2,0,1,2,0,3,0,0,0,0,0,0
southbend,"[ORGANIZATION] would mandate that a minimum of 75 percent of these foreclosed homes are sold directly to an individual owneroccupant, or to a community group that will rehabilitate the home and sell it directly to an owneroccupant. Her plans for tenants focus on rent-burdened households by investing 500 billion over [ORGANIZATION] to create, preserve, and rehabilitate over 3 million affordable housing units for lower-income families and her plan would lower rents by 10 percent. According to the [ORGANIZATION], [ORGANIZATION] has raised 82 million.",0,0,3,0,0,0,3,0,0,1,0,0,0,0,0,0
southbend,"Next to [ORGANIZATION] punt, PERSON1 offers the most modest plan among the major Democratic candidates. [ORGANIZATION] control and moreLast year in [ORGANIZATION], Senator [PERSON] introduced a 2.5 trillion plan to mitigate the growing housing crisis across the country. PERSON2 plans to invest 1.48 trillion in [ORGANIZATION] in order to create, preserve and rehabilitate permanently affordable housing units within mixed-income development. An additional 400 billion will be invested to build 2 million mixed-income social housing units also administered through [ORGANIZATION]. He also plans on investing an additional 500 million dollars in the [ORGANIZATION] ORG1 ORG2 Section 515 program, an existing rural rental housing loans program to provide affordable rental housing for very low-, low-, and moderate-income families, elderly persons, and persons with disabilities. PERSON2 calls for increasing funding for [ORGANIZATION] to 3 billion to build, preserve, and rehabilitate affordable housing in Indian country. PERSON2 also plans on investing 70 billion dollars in improving public housing, including to provide broadband services, and wants to repeal the Faircloth Amendment which does not allow [LOCATION] to construct new public housing units.",0,0,3,0,2,0,3,0,0,3,0,0,0,0,0,0
southbend,"I remember when I was [ORGANIZATION], we would go through our clothes for [DATE] time and see what we had, she said. Extra hats, gloves, whatever we can donate, and we would all go down to the [INSTITUTION] and give that to them.",0,0,3,0,0,0,1,0,0,1,2,0,0,0,0,0
southbend,"Delivered by [ORGANIZATION] By [ORGANIZATION]  [ORGANIZATION] ORG1 contributor [PERSON] went on the [STREET] for The [PERSON] Angle1 on [TIME]  and shared some horrifying insights about [ORGANIZATION], [PERSON]. Viewers of the new [PERSON] on the [STREET] segment were treated to scenes of boarded-up homes and filthy encampments populated by homeless people. Advertisement FREE",0,0,3,1,1,1,1,0,1,1,0,1,0,1,0,0
southbend,"But her profile grew after she spoke as a proponent of heavier regulations on banks, especially after the role they played in the [ORGANIZATION] financial crisis. Her plan revolves around four main goals reducing rents for lower- and middle- class families closing the racial barriers to housing that the federal government created [LOCATION] with redlining removing other kinds of discrimination from affordable housing and finally, ending FAC0 heavy influence on the housing market. Sen. [PERSON] plan promises 500 billion over DATE2 to build and rehabilitate affordable housing, with almost all of that going to [ORGANIZATION], a ORG1 affordable housing production program. The leftover cash includes over 500 million going into ORG2, 2.5 billion into the Indian Housing Block Grant9 and [ORGANIZATION], and 4 billion into creating a new grant called [ORGANIZATION], designed to help fund housing construction for middle-class families specifically in areas where affordable housing is scarce. A large portion of the 500 billion will be shouldered by private-public partnerships, which puts PERSON1 in line with President [PERSON] housing policy.11 To pay for the rest, the bill proposes a lower cap on the estate tax.",0,0,3,0,1,1,3,0,0,2,0,0,0,0,0,0
southbend,A homeless man came up to her while she was hanging more.,0,0,3,1,0,0,0,0,0,0,2,0,0,0,0,0
southbend,"The funds could also be accessed during emergencies that cause delayed payments for rent. [ORGANIZATION] also plans to expand [ORGANIZATION] for developing affordable rental housing and investing in homeless assistance grants that provide emergency and long-term housing. She proposes a new federal tax credit, similar to [ORGANIZATION], to encourage investment in family-owned homes in distressed neighborhoods.",0,0,3,0,0,0,3,0,0,2,0,0,0,0,0,0
southbend,"Two efforts revved up [ORGANIZATION] to connect the homeless and addicted to services in [ORGANIZATION]. Though separate, the projects target a widening sea of people in need in [ORGANIZATION] and the surrounding region. Both could use a boost of support from a community that already has given so much since [PERSON] began sweeping through [PERSON].",0,0,3,0,1,0,1,0,0,3,0,0,0,0,0,0
southbend,My first thought was to be reminded of the problem unrealized unrealizable? opportunity the homeless posed for [ORGANIZATION]. My second thought was to reread the piece and note that the head of the clique was previously expelled from ORG1 for internal subversion.,0,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0
southbend,Shes enlisted the help of her parents and her boyfriend to make homemade blankets and care baskets for the homeless in [ORGANIZATION]. She even set up a GoFundMe page to help raise money to purchase the supplies.,0,0,3,0,1,0,2,0,0,1,0,0,0,0,0,0
southbend,[ORGANIZATION] A huge [ORGANIZATION] fire destroyed several historic buildings in downtown [PERSON]. Authorities say several people were left homeless.,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
southbend,That is when [ORGANIZATION] decided to make the blankets and give them to the homeless.,0,0,3,0,0,0,1,0,0,2,0,0,0,0,0,0
southbend,"The case of [ORGANIZATION] v. PERSON1, a case I litigated, dealt with the 10 [ORGANIZATION] monument that stands on the state FAC0 grounds. Its been there since [ORGANIZATION] in [ORGANIZATION], an individual plaintiff, an atheist, a homeless man filed a lawsuit seeking to tear down the [ADDRESS] to [ORGANIZATION]. It was decided 5-4, four justices were willing to say enough fact send in the bulldozers and tear down that monument because you cant gaze on the image of the 10 [ORGANIZATION] on public land.",0,0,3,0,1,1,0,1,0,0,0,0,0,0,0,0
southbend,"Crowd seems very large, very impressive but also very white-an obstacle he will have to overcome. PERSON0 [PERSON] considers legal options with homeless under FAC0 GPE0 Tribune8. DATE1 after removing wooden pallets that the homeless were using for beds under the FAC0 viaduct, the city was still letting people camp there DATE2. Shortly after the city destroyed the pallets [TIME], people returned and set up new encampments with cardboard boxes, bedding and assorted possessions. Mayor [PERSON] doesnt want that happening either, and he said his administrations attorneys were researching whether [ORGANIZATION] public nuisance law authorizes the city to prohibit the encampments altogether.. PERSON3, founder of the nonprofit [ORGANIZATION], which secured the pallets from an [ORGANIZATION] food pantry and brought them to the viaduct, has called their confiscation and destruction by the city shameful. [ORGANIZATION] said the city didnt think it was taking anyones possessions, as [ORGANIZATION] has said.",0,0,3,1,2,2,0,2,0,1,0,0,1,0,0,0
southbend,"[ORGANIZATION] found that in [ORGANIZATION], 38 percent of all renter households were rent burdened, an increase of about 19 percent from [LOCATION]. In [ORGANIZATION], [PERSON], where Democratic hopeful [ORGANIZATION] is mayor, there are 400 homeless households. In former Mayor [PERSON] town, there are nearly 60,000 people living in homeless shelters. According to [ORGANIZATION], almost 7 million housing units are needed to make up for the lack of affordable housing stock in the country. DATE2, the [ORGANIZATION] administration took steps that could have a heavy impact on the future of housing, such as creating ORG2, chaired by [ORGANIZATION], which will look at ways to reform local zoning laws that prevent the construction of multifamily housing units. [ORGANIZATION], [ORGANIZATION] proposed a revision to the [ORGANIZATION] administrations anti-discrimination Affirmatively Furthering Fair Housing rule Secretary [PERSON] proposed that rules implementation and method be left up to local jurisdictions rather than the federal government. Some candidates have come up with comprehensive, ambitious housing plans while others have proposed more modest responses. Housing policy experts and advocates say this is the first time in modern history that housing has become a main presidential issue and also the first time moderators asked a question about affordable [PERSON]g during a nationally televised Democratic presidential debates. The core of the crisis is the lack of affordable housing for lower income households, and voters are interested in knowing the candidates housing plans before they make a vote, says [PERSON], the president and CEO of [LOCATION]. In some cities and towns, there are enough apartments or housing-but there are not enough households who can afford those housing units.",0,0,3,0,1,0,1,2,0,2,0,0,0,0,0,0
southbend,"[ORGANIZATION] currently provides subsidized coverage to 193,000 children and non-subsidized, or full-pay, coverage to 15,500 children. When it comes to affordable housing, [ORGANIZATION] needs to step it up, ORG3 say14 via PERSON0 of ORG1 In a new survey of the [ORGANIZATION] ORG3, a group of 50 prominent political and policy figures from across the state, nearly three quarters 73 percent said the state should dedicate 100 percent of the money in [LOCATION] to affordable housing instead of sweeping it for other uses. Many recommended subsidies for workforce housing, incentives for developers to build more affordable housing or using public land to sell or lease to developers who commit to building it. Others took a bolder approach like [ORGANIZATION], the executive director of advocacy group [ORGANIZATION]. PERSON2 insists the Governor veto any bill that spends [PERSON] dollars on anything other than affordable housing. Financial services sector bolsters [ORGANIZATION]s economic growth in [ORGANIZATION] via PERSON3 of ORG6 [ORGANIZATION]s economy remained strong in [LOCATION], and the financial service sector is partly to thank.",0,0,3,0,2,1,2,0,0,2,0,0,0,0,0,0
southbend,Some of those folks get addicted to drugs or alcohol. Others wind up homeless. Some face both predicaments.,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0
southbend,"[ORGANIZATION] by [ORGANIZATION] A homeless couple in [ORGANIZATION] in [LOCATION]. Affordable for whom? It is not just a question from communities within the footprint of every proposed rezoning in [PERSON]. It is a question that is being asked across the nation. More than in any campaign in recent memory, housing has become a key topic in the DATE2 presidential race, reflecting a national housing crisis spanning from megacities like GPE2 and [PERSON] to smaller urban centers like [PERSON] and rural areas like [PERSON], GPE6. According to some research, home prices in 70 percent of the country are more than average household can afford.",1,2,2,0,1,0,1,0,0,1,0,0,0,0,0,0
southbend,"The first student - [ORGANIZATION] - was selected from a family who was staying at [ORGANIZATION] in [ORGANIZATION]. In [ORGANIZATION], [ORGANIZATION] began attending ORG1 in [ORGANIZATION] and [LOCATION] shes a freshman at ORG2 in [PERSON]. Her younger sister, [PERSON], is also a Jaxson Scholar and an eighth-grader at ORG3.",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
southbend,"When all of the phases are built out, the city has plans to make the downtown even larger by extending the [STREET] grid to adjacent sites. Notes one city official [LOCATION] land control allows us to better negotiate getting affordable housing. We highly value equity and inclusivity and think it should be part of our vision.",0,0,3,0,2,1,0,0,0,3,0,0,0,0,0,0
southbend,[PERSON] A [ORGANIZATION] woman developed a pocket-sized resource guide with survival tips and other information for the newly homeless. PERSON0,0,0,3,0,0,0,1,0,0,2,0,0,0,0,0,0
southbend,"[ORGANIZATION] has hung more than 100 bags in trees around the downtown area and FAC0, each containing different [ORGANIZATION] items that are free for the homeless or people in need to take. PERSON0, a senior loan officer for [ORGANIZATION], has placed bags twice so far and will continue to do it until the weather warms up.",0,0,3,1,0,0,1,0,0,3,0,0,0,0,0,0
southbend,"PERSON0 We really owe a lot to our veterans, really everything. [ORGANIZATION] is a premium sponsor of [ORGANIZATION] campaign by [ORGANIZATION] vets. Its dedicated to ending veteran homelessness in the [ORGANIZATION] It features a variety of camouflage products including t-shirts, sweatshirts, a tote bag with the Honor [ORGANIZATION] Vets hashtag, designed to create awareness for the [ORGANIZATION] vets mission. You can see what is all available at the ORG1, and we hope you do.",0,0,3,0,2,0,0,0,0,2,0,0,0,0,0,0
southbend,"The [ORGANIZATION] in Time Count of the homeless is a survey required by [ORGANIZATION] to determine federal funding to communities for housing assistance and shelters. Because of COVID-19 precautions, the counters could not set up hubs in city parks, where homeless people could pick up food, clothing and supplies. So, volunteers visited common areas, where the homeless often live in cars or wooded places like the [ORGANIZATION] front.",0,0,3,0,0,0,3,0,0,2,0,0,0,0,0,0
southbend,"At the cusp of the crisis, [ORGANIZATION] co-sponsored several [ORGANIZATION] measures ranging from the bills to protect mortgage applicants to an amendment to the tax code allowing some flexibility for homeowners who originally financed their mortgages through a qualified subprime loan. Since then, she has cosponsored several measures to mitigate homelessness, end discrimination against victims of domestic violence, and create easier access to the federal housing voucher program, among over 30 other housing and development bills and amendments. Akin to the housing plans proposed by [ORGANIZATION], [ORGANIZATION], [ORGANIZATION]s housing plan is focused on creating affordable housing, mitigating homelessness and creating paths to homeownership but she focuses on tweaking several existing federal programs. [ORGANIZATION] plans to fight housing discrimination by creating a new federal grant program for access to free legal counsel for people facing evictions prohibiting discrimination based on income source or the blacklisting of tenants who have been evicted in the past modifying the current Affirmatively Furthering Fair Housing Rule and restoring [ORGANIZATION] to monitor fair lending practices whose authority has been reduced by the PERSON5 administration. For tenants, she plans on expanding rental assistance for affordable housing in rural towns by improving access to existing federal programs, and through the purchasing power of ORG1 and ORG2, her administration will encourage lenders to serve rural mortgage markets. Additionally, she will expand support for affordable senior housing and direct affordable housing programs to allow retrofitting of rental housing for seniors. She also has plans for major investments in [ORGANIZATION] pilot program, which allows families to use their vouchers in higher opportunity neighborhoods.",0,0,3,0,1,0,3,0,0,3,0,0,0,0,1,0
southbend,"[ORGANIZATION] for [LOCATION] of ORG0 Shenanigans[PERSON], the alleged ringleader of the kidnapping plot, lived for much of [ORGANIZATION] in the basement of a vacuum cleaner repair shop, sharing the space with his two dogs and plenty of spare vacuum parts. The stores owner, [ORGANIZATION], told [PERSON] that [PERSON] kept the alleged plot hidden from him  because he knew hed be homeless otherwise. But [PERSON] appears to have filmed footage of himself training in that same shop basement.",0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0
rockford,"Several generations of American children have grown up absorbing the shows message of kindness and acceptance. They have met a Muppet named [PERSON] who was homeless, a Muppet named [PERSON] who was blind, and a Muppet named [PERSON] who had autism. They have met Muppets and human beings of all colors and abilities - and disabilities.",0,0,3,1,2,0,0,0,0,0,0,1,0,0,1,1
rockford,"Thumbs up to the leadership of the city of [ORGANIZATION], [ORGANIZATION] and ORG1 for their initiative to secure improved service coordination for the homeless. The group announced plans to hire a coordinator by [ORGANIZATION]. Though this action does not eliminate homelessness, this one step - creating a centralized point of contact - has the potential for much improved outcomes.",0,0,3,0,3,0,0,0,0,3,0,0,0,0,0,0
rockford,"[PERSON] [ORGANIZATION] count finds 4,025 homeless people living in [ORGANIZATION]. [ORGANIZATION] says thats a decline from the last point-in-time count of the homeless, but its not a significant reduction.",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
rockford,Thumbs up to initiative to improve coordinated service for the homeless,0,0,1,1,2,0,0,0,0,3,0,0,0,0,0,0
rockford,"[ORGANIZATION] ORG1, [ORGANIZATION], GPE1,was recently awarded the [ORGANIZATION] Area Homeless Coalition Outstanding Volunteer of the Year Award for bringing awareness to the community of the dramatic increase in homelessness.",0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0
rockford,"Since DATE0, the [ORGANIZATION] agency for ORG1 ORG2 has required areas to establish local continuums of care, that is, agencies providing services to homeless should collaborate to assure coordination of services. Locally, representatives of some 20 agencies come together through board and task force meetings to improve coordination, all the while, working full time at their respective agencies. ORG3, then, serves as the primary ORG2 designated body designated to develop, coordinate and implement long-range plans meeting the needs of homeless persons. These leaders began to imagine the value of a full-time, paid coordinator who will improve the communication between and among these member agencies, who finds and applies for grants to further their collective work, and who will identify overlaps and gaps in these services to strengthen the safety net.",0,0,3,0,0,1,2,0,0,3,0,0,0,0,0,0
rockford,We applaud this important first step to assure the long-term resolution of homelessness.,0,0,2,0,3,0,0,0,0,2,0,0,0,0,0,0
rockford,"Like waves on a beach and over [ORGANIZATION], homelessness has come to our attention and then receded. Events of [LOCATION] and fall, though, have prompted a deeper commitment to addressing this challenge in a permanent, thoughtful, and systemic fashion. Listening to what service providers said they needed, staff of [ORGANIZATION] identified this initiative and secured the generous support of ORG1 and PERSON0 Family Funs and ORG2. PERSON1, ORG3 president and CEO, sees the person in this position making sustainable system-level improvements by better coordinating our system of care and bringing additional resources. Mayor [PERSON] noted that the city is proud to enhance this partnership in order to provide greater efficiencies to all our efforts to end homelessness in our community.",0,0,3,0,2,2,2,0,1,3,0,0,0,0,0,0
rockford,"-Honorable mention [ORGANIZATION], based in [ORGANIZATION], [PERSON], for Leaving the Jungle, the journey of a homeless woman as she reluctantly moves from one of the poorest areas of [ORGANIZATION] to her own apartment.",0,0,3,1,1,0,0,0,0,0,0,2,0,0,0,0
kzoo,"Alleging environmental violations related to [ORGANIZATION] population of homeless people and people who inject drugs, [ORGANIZATION] said, And we fined [PERSON] -- and GPE2 and [PERSON]. But weve just sent them a tremendous dollar fine for what theyre doing. -- [ORGANIZATION] campaign rally in [LOCATION], GPE4",0,0,3,0,0,1,1,0,1,2,0,0,0,0,0,0
kzoo,"[ORGANIZATION] Prolonged cold weather and the closing of a downtown shelter have produced a spike in homeless people spending [TIME] at [ORGANIZATION], [ORGANIZATION] reports.",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
kzoo,"[ORGANIZATION] are among the most hard-hit4, with heightened health and economic threats from the pandemic. These veterans face homelessness, lack of health care, delays in receiving financial support and even death. I have spent DATE0 studying veterans with substance use and mental health disorders who are in the criminal justice system5.",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
kzoo,"6. Complications for homeless veterans and those in the justice system An estimated 45,000 [PERSON] are homeless on any given night, and 181,[ADDRESS]-supervised substance use and mental health treatment in veterans treatment [DATE]. More than half31 of veterans involved with the justice system have either mental health problems or substance use disorders. As residential facilities close to new participants, many veterans eligible to leave prison or jail have nowhere to go. They may stay incarcerated or become homeless. Courts have moved online32 or ceased formal operations altogether, meaning no veteran charged with a crime can be referred to a treatment [STREET].",0,0,3,0,0,0,0,1,1,2,0,0,0,0,0,0
kzoo,[ORGANIZATION] Provides 15.6 Million Loan for Construction of Affordable Housing for Homeless  [DATE],0,0,3,0,0,0,3,0,0,1,0,0,0,0,0,0
kzoo,[PERSON] Officials are getting complaints that [ORGANIZATION] homeless camp residents dump human waste into [LOCATION].,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0
kzoo,"You can make a donation to their cause here18. According to their website, they are currently working to open a childcare center and provide help with finding affordable housing solutions for its community members. They are also looking for volunteers and donations of household goods, including food and diapers.",0,0,3,0,0,0,1,0,0,3,0,0,0,0,0,0
kzoo,"[ORGANIZATION] residents facing homelessness with behavioral health concerns and the elderly, will now have a new [STREET] to call home in [PERSON], GPE2",0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0
kzoo,"The man who shot President [PERSON] in [ORGANIZATION] will be released unconditionally, a federal judge ruled [LOCATION]. 100 [ORGANIZATION] Reports Over 900 Homeless Encampment Fires Since Start of DATE2 The city of [ORGANIZATION] has exceeded [ORGANIZATION] record-breaking number of homeless encampment fires that have since cultivated an extreme risk to public safety throughout the city. According to the [ORGANIZATION], over 900 encampment fires have been recorded DATE4 alone, up from [PERSON] recorded number of 825.",0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0
kzoo,"70-unit development will provide supportive and affordable housing options in [ORGANIZATION], [PERSON]",0,0,3,0,0,0,4,0,0,3,0,0,0,0,0,0
kzoo,66 [ORGANIZATION] at [ORGANIZATION] [INSTITUTION] That Houses Violent Homeless Encampment67 [PERSON] of the [ORGANIZATION] in [ORGANIZATION] admitted in an email that classrooms will need to be reorganized to due to plummeting enrollment. The school is currently home to a violent homeless encampment which has been growing for [ORGANIZATION]. 68 [PERSON] Calls on [ORGANIZATION] to Blow Suspect Out the Door After DATE1 Shooting69 GPE2 Sheriff PERSON1 is calling on armed citizens in his county to blow [PERSON] out the door if he targets their home.,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0
